=== Basic System Information ===
User        : sveda
Hostname    : AcerNitroV
IP Address  : 192.168.1.234
OS          : Windows 11
Directory   : c:\Users\sveda\Desktop\SecurityAutomationTools\security-automation-tools

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
conhost.exe                  27336 Console                    1     10,440 K
conhost.exe                  29964 Console                    1     10,440 K
browserhost.exe              14324 Console                    1     20,872 K
mc-extn-browserhost.exe      20612 Console                    1     15,304 K
brave.exe                    33072 Console                    1     58,024 K
brave.exe                    33084 Console                    1     25,952 K
brave.exe                     7392 Console                    1     59,820 K
brave.exe                    13696 Console                    1     32,400 K
SearchProtocolHost.exe        2020 Services                   0     17,980 K
WmiPrvSE.exe                 32156 Services                   0     16,680 K
RuntimeBroker.exe            30904 Console                    1     32,860 K
cmd.exe                      14092 Console                    1      5,384 K
conhost.exe                  31704 Console                    1      7,868 K
python.exe                   30268 Console                    1     21,216 K
cmd.exe                      27664 Console                    1      5,420 K
tasklist.exe                 12648 Console                    1     12,200 K
